GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "08000","Colorado",7,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",2368364,2378412,2438644,2474352,2533928,2601712,2588816,2717484,2780740,2822368,2860304,2907668,2999980,3056456,3119512,3158416,3227120,3245736,3258228,3276932,3331752,3406248,3474056,3551164,3626180,3636444,3668904,3672348,3694252,3752044,3888944,3997272,4090120,4204476,4285824,4350176,4451192,4554516,4641624,4766256,4920556,5071396,5187492,5363656,5517164,5682768,5862652,6038688,6236228,6331048,6527952,6736324,6968516,7287976,7383188,7596176,7950072,8147200,8526472,8890068,9145012,9476848,9801460,10069728,10292348,10544216,10739788,10883396,11099692,11398620,11772260,12088480,12499996,12777092,13065968,13449608,13781856,14333676,14787564,15398332,15920652,16669524,17270560,17976396,18640616,19274456,20204144,20808856,21506220,22103388,22729912,23816256,24617896,25316264,26487868,27582180,28167132,28606740,28628168,28976376,29346760,29724392,30353708,31102632,31765408,32669332,33286112,33884964,34186780,34785740,35080044,35505784,36083376,35987468,36157064,36290472,36678104,36984896,37242368,37994052,38047900,39148020,39644880,40240592,40919532,41352848,42148248,42611852,43486680,44602720,45465252,46046328,46906028,47724716,48537640,49663928,51107300,52370620,53303672,53352516,55462732,56071500,56865280,58140176,58670560,60500468,60950792,62319084,63350036,63954740,65440736,66303000,67285348,68869300,70462728,71864988,72883048,74646460,76924972,78822164,80584876,82157984,86057264,86142748,88529572,90755384,91337856,96238404,98836556,102378996,105915684,106341928,108561388,107876500,106670836,106166268
 "08000","Colorado",7,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",2160672,2167816,2226140,2262564,2311024,2378336,2364100,2483748,2536296,2574160,2608448,2649628,2729092,2779592,2836660,2869740,2922844,2941768,2950980,2966756,3007592,3072428,3130132,3196300,3264360,3270904,3297396,3299524,3323256,3374828,3498568,3593876,3653132,3757608,3833384,3890716,3977756,4069004,4148376,4257584,4390464,4518764,4616504,4773564,4909904,5057968,5220052,5375960,5546672,5623208,5788832,5964652,6155916,6436912,6502464,6682172,6963392,7129224,7468280,7802336,7993268,8300128,8593964,8832568,9003416,9224864,9387256,9489392,9631236,9875540,10204704,10488732,10831844,11074708,11324344,11646116,11890624,12366264,12755776,13290424,13719276,14388552,14914072,15524148,16077404,16608100,17403520,17920792,18534688,19030592,19552580,20510112,21157292,21735016,22726160,23604056,24118560,24461796,24436584,24677708,24890532,25197988,25724952,26394528,26888904,27667192,28178668,28659636,28866352,29334744,29547544,29876396,30331848,30198648,30311084,30422476,30781720,31030160,31236920,31890740,31836596,32757472,33130860,33560228,34078804,34330956,34906572,35261504,35932892,36902000,37611080,38041056,38688664,39307668,39880464,40677704,41677320,42591824,43272800,43358688,44935448,45524748,46178648,47265572,47618304,49222744,49650176,50890848,51873412,52464660,53768304,54540736,55412008,56802804,58177156,59377840,60278640,61776344,63679616,65279932,67196472,68511848,71808932,71912336,73965180,75849492,76257384,80473516,82696192,85607684,88623740,88718384,90421516,89678156,88468828,87951048
 "08000","Colorado",7,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",207692,210596,212504,211788,222904,223376,224716,233736,244444,248208,251856,258040,270888,276864,282852,288676,304276,303968,307248,310176,324160,333820,343924,354864,361820,365540,371508,372824,370996,377216,390376,403396,436988,446868,452440,459460,473436,485512,493248,508672,530092,552632,570988,590092,607260,624800,642600,662728,689556,707840,739120,771672,812600,851064,880724,914004,986680,1017976,1058192,1087732,1151744,1176720,1207496,1237160,1288932,1319352,1352532,1394004,1468456,1523080,1567556,1599748,1668152,1702384,1741624,1803492,1891232,1967412,2031788,2107908,2201376,2280972,2356488,2452248,2563212,2666356,2800624,2888064,2971532,3072796,3177332,3306144,3460604,3581248,3761708,3978124,4048572,4144944,4191584,4298668,4456228,4526404,4628756,4708104,4876504,5002140,5107444,5225328,5320428,5450996,5532500,5629388,5751528,5788820,5845980,5867996,5896384,5954736,6005448,6103312,6211304,6390548,6514020,6680364,6840728,7021892,7241676,7350348,7553788,7700720,7854172,8005272,8217364,8417048,8657176,8986224,9429980,9778796,10030872,9993828,10527284,10546752,10686632,10874604,11052256,11277724,11300616,11428236,11476624,11490080,11672432,11762264,11873340,12066496,12285572,12487148,12604408,12870116,13245356,13542232,13388404,13646136,14248332,14230412,14564392,14905892,15080472,15764888,16140364,16771312,17291944,17623544,18139872,18198344,18202008,18215220
 "08000","Colorado",7,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",155964,159168,161116,161656,165076,166144,169520,177048,178216,181316,182924,186964,193512,197088,201692,207656,214372,214864,218336,220552,225672,232220,239556,246752,253424,257508,263840,266392,267256,273120,283252,293504,302704,309772,313916,321464,333096,342648,347812,358520,370780,388968,403712,418132,422796,436060,447548,462316,481836,497264,523916,550888,569248,597488,627816,654920,685480,712016,743004,762396,759916,774044,793204,809404,836380,857980,886016,926320,990924,1035072,1065240,1085160,1099928,1124504,1154596,1204436,1256800,1310496,1358860,1411008,1452320,1494184,1541164,1597616,1655836,1721648,1805316,1861456,1919028,1998332,2071876,2147744,2188988,2276460,2395232,2553560,2572704,2643136,2693944,2782112,2859216,2911688,2980256,3025028,3054200,3133352,3210436,3297932,3377096,3476948,3545124,3614156,3694888,3733092,3775012,3790376,3815888,3859192,3897428,3951292,3984420,4095312,4180876,4300652,4441144,4584328,4744892,4817896,4954620,5024268,5110720,5209128,5347412,5482188,5667176,5935668,6269296,6545244,6743600,6769648,7009740,7024116,7106848,7237588,7315756,7456740,7454304,7496224,7499096,7483152,7577832,7620768,7694976,7793940,7920828,8038392,8129456,8292860,8537672,8726516,8934056,9110928,9497200,9488032,9701448,9935540,10104036,10543172,10792548,11264296,11592592,11911180,12310576,12374564,12367328,12265840
 "08000","Colorado",7,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",51728,51428,51388,50132,57828,57232,55196,56688,66228,66892,68932,71076,77376,79776,81160,81020,89904,89104,88912,89624,98488,101600,104368,108112,108396,108032,107668,106432,103740,104096,107124,109892,134284,137096,138524,137996,140340,142864,145436,150152,159312,163664,167276,171960,184464,188740,195052,200412,207720,210576,215204,220784,243352,253576,252908,259084,301200,305960,315188,325336,391828,402676,414292,427756,452552,461372,466516,467684,477532,488008,502316,514588,568224,577880,587028,599056,634432,656916,672928,696900,749056,786788,815324,854632,907376,944708,995308,1026608,1052504,1074464,1105456,1158400,1271616,1304788,1366476,1424564,1475868,1501808,1497640,1516556,1597012,1614716,1648500,1683076,1822304,1868788,1897008,1927396,1943332,1974048,1987376,2015232,2056640,2055728,2070968,2077620,2080496,2095544,2108020,2152020,2226884,2295236,2333144,2379712,2399584,2437564,2496784,2532452,2599168,2676452,2743452,2796144,2869952,2934860,2990000,3050556,3160684,3233552,3287272,3224180,3517544,3522636,3579784,3637016,3736500,3820984,3846312,3932012,3977528,4006928,4094600,4141496,4178364,4272556,4364744,4448756,4474952,4577256,4707684,4815716,4454348,4535208,4751132,4742380,4862944,4970352,4976436,5221716,5347816,5507016,5699352,5712364,5829296,5823780,5834680,5949380
 "08000","Colorado",7,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",44892,46252,46624,49460,48584,46776,46196,49708,48808,50452,51012,53008,54428,55068,55596,54380,53992,53244,50976,49672,49504,48188,48876,43620,42004,43228,40724,38800,38192,40092,39416,41988,43124,46216,50268,55848,60760,64744,69348,68132,65840,60224,59628,58944,69176,72236,73576,75384,74700,75936,75832,72344,69388,67492,69728,69352,71968,70424,73092,77428,85480,91880,97004,101408,100236,100876,98496,96924,101220,99380,95996,96684,100072,102676,102760,103564,110856,111376,115200,120500,137020,144196,150676,156020,155296,157208,159024,161224,163276,164244,163080,159324,157840,155468,155708,158736,158480,163264,165320,164564,160356,157308,155212,154100,153288,153936,154920,156356,157148,157684,156548,153700,148988,146304,144632,144068,143232,144816,147884,152240,157644,162188,165660,167756,168232,171184,175572,181824,196544,203352,203948,199388,202516,193516,187728,185160,181388,185156,192356,201944,208816,214744,224692,235556,264004,280036,292324,299756,307696,305392,299932,294764,291200,288172,291396,300432,329820,346788,357412,360912,344688,341116,338980,340428,345128,348352,355220,363380,376212,388316,398860,407636,402028,409216,411076,407452
 "08000","Colorado",7,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",2323472,2332160,2392020,2424892,2485344,2554936,2542620,2667776,2731932,2771916,2809292,2854660,2945552,3001388,3063916,3104036,3173128,3192492,3207252,3227260,3282248,3358060,3425180,3507544,3584176,3593216,3628180,3633548,3656060,3711952,3849528,3955284,4046996,4158260,4235556,4294328,4390432,4489772,4572276,4698124,4854716,5011172,5127864,5304712,5447988,5610532,5789076,5963304,6161528,6255112,6452120,6663980,6899128,7220484,7313460,7526824,7878104,8076776,8453380,8812640,9059532,9384968,9704456,9968320,10192112,10443340,10641292,10786472,10998472,11299240,11676264,11991796,12399924,12674416,12963208,13346044,13671000,14222300,14672364,15277832,15783632,16525328,17119884,17820376,18485320,19117248,20045120,20647632,21342944,21939144,22566832,23656932,24460056,25160796,26332160,27423444,28008652,28443476,28462848,28811812,29186404,29567084,30198496,30948532,31612120,32515396,33131192,33728608,34029632,34628056,34923496,35352084,35934388,35841164,36012432,36146404,36534872,36840080,37094484,37841812,37890256,38985832,39479220,40072836,40751300,41181664,41972676,42430028,43290136,44399368,45261304,45846940,46703512,47531200,48349912,49478768,50925912,52185464,53111316,53150572,55253916,55856756,56640588,57904620,58406556,60220432,60658468,62019328,63042340,63649348,65140804,66008236,66994148,68581128,70171332,71564556,72553228,74299672,76567560,78461252,80240188,81816868,85718284,85802320,88184444,90407032,90982636,95875024,98460344,101990680,105516824,105934292,108159360,107467284,106259760,105758816
 "08000","Colorado",7,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",1712144,1704548,1755452,1798500,1855904,1914712,1882968,1983676,2037196,2061048,2096468,2132648,2207712,2252220,2295952,2307920,2344224,2357200,2353392,2359944,2395632,2449960,2495340,2557748,2615340,2605056,2604860,2604184,2630752,2663716,2762224,2849264,2898580,2985516,3045064,3068292,3117028,3179912,3244800,3325360,3439616,3534932,3614588,3734644,3858260,3979260,4128616,4258940,4401128,4438420,4544596,4702172,4885588,5152120,5153184,5328716,5635572,5777372,6056236,6332388,6517972,6788864,7065588,7298948,7416256,7618984,7755108,7816756,7892268,8119516,8428512,8661240,8991064,9189332,9435072,9751364,9994268,10510320,10905120,11471372,11850756,12551260,13031508,13623564,14212680,14753968,15540380,16043408,16695116,17048964,17601420,18526768,19310488,19843540,20729324,21448888,22176044,22540856,22446768,22733404,22935016,23223648,23828520,24383920,25028080,25734408,26173096,26660968,26893872,27337808,27443744,27726636,28217256,28069648,28150620,28167048,28382080,28615776,28744444,29464656,29293016,30257500,30737236,31139876,31764956,32005004,32656336,33032532,33680784,34622456,35310864,35739520,36356532,36964624,37583344,38440624,39593320,40541316,41279820,41205644,43185036,43691624,44375644,45547588,45844052,47538440,47918512,49152604,50075288,50554104,51881076,52681092,53590780,55098632,56551636,57777192,58561984,60211824,62315228,63968892,65647380,67135752,70802076,70871092,72843820,74841156,75145336,79770512,82141392,85274892,88724304,88671876,90595104,89447040,87792860,86986264
 "08000","Colorado",7,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",3092,3532,3516,3900,4324,4304,4760,5180,5176,5192,5648,5704,6132,6164,6604,6600,7096,7072,7500,7436,7916,7816,7836,7372,7004,6996,6528,6924,7756,8128,8972,9404,9992,10404,10844,10828,10816,10420,10364,10748,11556,11916,12740,13200,13388,13496,13560,13764,14496,15232,15828,17008,17716,18732,19456,20060,20960,21564,21972,23040,24000,24996,25820,26688,27936,29076,29240,29776,29116,28944,29808,30908,32388,33396,34588,35340,36288,37172,40124,45248,49840,54268,57188,63004,66900,65840,75236,72740,76784,86520,91244,88856,87944,86436,84272,93900,97552,102680,101120,104852,110792,113040,120208,124144,125288,134680,138244,144636,147684,152584,152440,158256,166616,163800,170860,170608,175200,177164,174900,171148,184728,180524,178040,176000,179648,184412,181100,191364,191656,199616,203264,208144,207440,209368,208804,212856,223820,234516,233336,242936,243976,255100,266404,266124,279980,283808,290460,292540,295524,292612,306288,320556,318276,328248,338592,343792,350120,361832,368024,381440,379904,396468,423608,422716,464992,472472,502324,526436,543784,539892,551812,560004,715064,663152,610760,574876
 "08000","Colorado",7,SQINC6S,200,"B","   Mining","Thousands of dollars",92820,89688,84124,89040,92984,95092,93044,94872,101068,101540,100960,100556,96288,97344,102028,103800,96176,93252,86836,81888,89640,89816,91452,89704,93120,92960,94704,98412,95152,97672,102008,102124,110612,112644,110252,112628,113152,120144,119552,121444,123424,125564,129424,131496,133836,137964,145300,151720,157624,160404,161268,163972,169388,172524,164928,157412,173776,168168,179940,182952,185952,190612,205896,223224,232540,245228,262180,252516,325744,342640,359592,377492,393156,382824,413972,435496,460316,510180,535664,552000,560556,671068,714080,755748,747036,786496,844232,915740,1000128,1087712,1169740,1292196,1361280,1460848,1590208,1653224,1749916,1700068,1614056,1566780,1496048,1433768,1474452,1495508,1492652,1502792,1552628,1515560,1484380,1503100,1434328,1397740,1404740,1266280,1138736,1051520,1022984,1038904,1024456,976628,1133152,1039728,953304,997676,982244,987904,1054088,1045912,1020944,1034392,1047952,1045020,1046760,1105424,1007172,920560,1015060,940112,946304,894656,904720,938152,988360,1066372,888512,992160,902672,994600,946028,930196,941672,895148,919712,932276,915812,934344,1007360,958056,992576,967804,991788,1015592,1032048,955668,1047604,1033300,965992,1278736,958212,1033188,992624,1102944,1363992,1211472,1623648,1183256
